index,symbol,name,yield,payout,operating,levered
396,akam,Akamai Technologies Inc,N/A,0.00%,1.12B,336.52M
397,j,Jacobs Engineering Group Inc,0.96%,56.00%,-296.24M,675.13M
398,mmc,Marsh & McLennan Companies,1.68%,64.04%,2B,8.28B
399,aes,AES Corp,4.12%,125.64%,2.08B,-410.12M
400,re,Everest Re Group Ltd,3.13%,35.89%,1.9B,1.19B
401,disca,"Discovery, Inc A",N/A,0.00%,3.19B,5.89B
402,ivz,Invesco Ltd,6.18%,121.57%,1.16B,3.72B
403,bdx,Becton Dickinson & Co,1.22%,92.86%,3.5B,3.16B
404,oxy,Occidental Petroleum,0.23%,N/A,7.77B,-661.5M
405,cvx,Chevron Corp,6.24%,233.65%,26.98B,13.42B
406,coty,Coty Inc.,N/A,N/A,392.7M,583.84M
407,cl,Colgate-Palmolive Co,2.40%,58.70%,3.3B,2.55B
408,nwsa,News Corp A,1.69%,N/A,729M,221.75M
409,alk,Alaska Air Group Inc,N/A,33.37%,1.29B,-13.88M
410,tt,Trane Technologies plc,2.35%,40.54%,1.64B,1.86B
411,cof,Capital One Financial,2.74%,31.62%,17.17B,N/A
412,ko,Coca-Cola Co,3.73%,69.40%,10.24B,12.03B
413,cpri,Capri Holdings Ltd,N/A,0.00%,859M,661.63M
414,psa,Public Storage,4.09%,108.84%,2.06B,1.44B
415,dvn,Devon Energy Corp,4.25%,N/A,2.09B,-1.05B
416,cat,Caterpillar Inc,3.28%,41.71%,6.92B,5.06B
417,pfg,Principal Financial Group,5.62%,49.22%,5.91B,1.29B
418,a,Agilent Technologies Inc,0.80%,31.42%,810M,684.63M
419,sivb,SVB Financial Group,N/A,0.00%,991.5M,N/A
420,awk,American Water Works Co Inc,1.68%,57.31%,1.4B,-1B
421,dltr,Dollar Tree Inc,N/A,0.00%,2.21B,873.06M
422,jwn,Nordstrom Inc,N/A,N/A,489M,8.5M
423,hwm,Howmet Aerospace Inc.,N/A,7.08%,373M,867.12M
424,mtb,M&T Bank Corp,4.62%,34.06%,1.55B,N/A
425,alxn,Alexion Pharmaceuticals Inc,N/A,0.00%,2.2B,1.54B
426,cdns,Cadence Design Systems Inc,N/A,0.00%,761.91M,571.68M
427,csx,CSX Corporation,1.53%,23.61%,4.86B,2.59B
428,ual,"United Airlines Holding, Inc",N/A,0.00%,5.06B,-2.04B
429,wba,Walgreens Boots Alliance Inc,4.79%,46.47%,5.78B,3.36B
430,nvda,Nvidia Corp,0.15%,11.96%,4.95B,3.19B
431,dxc,DXC Technology Company,N/A,N/A,2.35B,1.73B
432,duk,Duke Energy Corp,4.84%,74.21%,8.52B,-3.29B
433,csco,Cisco Systems Inc,3.08%,55.73%,15.57B,12.04B
434,mu,Micron Technology Inc,N/A,N/A,N/A,N/A
435,fox,Fox Corp B,1.81%,32.09%,2.24B,1.4B
436,isrg,Intuitive Surgical Inc,N/A,0.00%,1.62B,1.04B
437,bax,Baxter Intl Inc,1.14%,46.07%,2.25B,1.39B
438,apa,Apache Corp,0.83%,N/A,2.77B,1.45B
439,cpb,Campbell Soup Co,2.83%,85.37%,1.54B,947.12M
440,dgx,Quest Diagnostics,1.93%,37.99%,1.22B,601.88M
441,cvs,CVS Health Corporation,3.26%,36.23%,14.2B,11.29B
442,ma,Mastercard Inc A,0.54%,17.77%,8.73B,6.85B
443,aon,Aon plc,0.91%,25.29%,2.1B,2B
444,hii,Huntington Ingalls Industries Inc.,2.55%,25.82%,953M,14.5M
445,hban,Huntington Bancshares (OH),7.44%,60.20%,1.58B,N/A
446,kim,Kimco Realty Corp,N/A,149.33%,583.62M,408.11M
447,hsy,Hershey Foods Corp,2.44%,57.38%,1.68B,988.6M
448,dva,DaVita Inc,N/A,0.00%,2.83B,5.53B
449,evrg,Evergy Inc.,3.32%,72.32%,1.71B,656.24M
450,amcr,Amcor plc,4.40%,105.42%,1.12B,N/A
451,rol,Rollins Inc,0.70%,71.31%,339.73M,270.66M
452,wu,Western Union Co,4.34%,33.13%,787.4M,441.46M
453,mdt,Medtronic plc,2.57%,61.02%,7.23B,5.1B
454,tpr,"Tapestry, Inc",N/A,N/A,635M,345.38M
455,aal,American Airlines Group Inc.,3.34%,N/A,2B,-870.37M
456,yum,Yum! Brands Inc,2.18%,48.32%,1.25B,1.02B
457,fisv,Fiserv Inc,N/A,0.00%,3.44B,2.06B
458,wynn,Wynn Resorts Ltd,N/A,N/A,460.71M,-471.24M
459,ads,Alliance Data Systems Corp,1.98%,29.58%,1.18B,6.55B
460,kmi,Kinder Morgan Inc,7.55%,172.41%,5.01B,624.5M
461,dre,Duke Realty Corp,2.62%,81.08%,505.89M,855.95M
462,ttwo,Take-Two Interactive Software,N/A,0.00%,685.68M,531.93M
463,xel,Xcel Energy Inc,2.72%,63.51%,3.14B,-2.31B
464,dfs,Discover Financial Services,3.79%,25.75%,5.54B,N/A
465,gs,Goldman Sachs Group Inc,2.54%,24.96%,15.21B,N/A
466,pru,Prudential Financial Inc,7.58%,57.02%,31.31B,20.41B
467,vz,Verizon Communications Inc,4.56%,55.25%,37.49B,11.28B
468,nrg,NRG Energy,3.71%,2.48%,1.71B,1.18B
469,hrb,H&R Block Inc,7.91%,"3,466.67%",108.96M,-19.95M
470,stt,State Street Corp,3.37%,34.88%,10.31B,N/A
471,tsco,Tractor Supply Co,1.02%,29.54%,908.67M,576.51M
472,nwl,Newell Brands Inc,6.13%,N/A,1.27B,3.61B
473,sre,Sempra Energy,3.59%,59.36%,3.46B,-700.75M
474,nsc,Norfolk Southern Corp,2.20%,39.96%,3.97B,1.41B
475,eog,EOG Resources,3.38%,29.82%,9.14B,2.18B
476,blk,BlackRock Inc,2.64%,50.17%,2.17B,3.19B
477,cern,Cerner Corp,1.03%,44.72%,1.28B,559.88M
478,bac,Bank of America Corp,3.16%,28.16%,65.72B,N/A
479,hog,Harley-Davidson Inc,0.31%,64.59%,827.02M,857.82M
480,foxa,Fox Corp A,1.82%,32.09%,2.24B,1.4B
481,tap,Molson Coors Beverage Co B,N/A,N/A,1.98B,1.27B
482,biib,Biogen Inc,N/A,0.00%,7.09B,5.45B
483,txn,Texas Instruments Inc,2.76%,63.98%,6.39B,4.15B
484,wat,Waters Corp,N/A,0.00%,618.94M,326.34M
485,bby,Best Buy Co Inc,2.59%,38.10%,3.39B,2.37B
486,hsic,Henry Schein Inc,N/A,0.00%,778.3M,732.51M
487,clx,Clorox Co,1.93%,60.79%,1.2B,776.37M
488,grmn,Garmin Ltd,2.52%,44.79%,759.84M,531.89M
489,vrsn,VeriSign Inc,N/A,0.00%,746.62M,537.38M
490,vlo,Valero Energy Corp,7.81%,383.33%,4.61B,2.61B
491,nov,National Oilwell Varco Inc,N/A,N/A,791M,914.25M
492,lmt,Lockheed Martin,2.82%,41.74%,7.96B,4.77B
493,fbhs,Fortune Brands Home & Security Inc,1.50%,27.86%,713.1M,487.02M
494,gl,Globe Life Inc.,1.07%,10.52%,1.28B,1.06B
495,lyb,LyondellBasell Industries N.V.,6.66%,53.64%,4.85B,1.92B
496,rtx,Raytheon Technologies Corp,3.27%,61.89%,8.04B,6.87B
497,amt,American Tower Corp A,1.56%,88.32%,3.77B,3.4B
498,googl,Alphabet Inc A,N/A,0.00%,53.97B,21.93B
499,emr,Emerson Electric Co,3.36%,56.57%,3.16B,2.36B
500,algn,Align Technology Inc,N/A,0.00%,639.85M,344.71M
501,lyv,Live Nation Entertainment Inc.,N/A,0.00%,632.41M,482.92M
502,nws,News Corp B,1.68%,N/A,729M,221.75M
503,kmb,Kimberly-Clark,3.01%,60.73%,3.12B,1.68B
504,lkq,LKQ Corp,N/A,0.00%,1.08B,828.32M
